;Karta;Wyniki;Metadane;Przetworzone próbki;Data przyjęcia i wypisu
282;Not found;Not found;Not found;0;Found
283;Not found;Not found;Not found;0;Found
284;Not found;Not found;Not found;0;Found
285;Not found;Not found;Not found;0;Found
286;Not found;Not found;Not found;5;Found
287;Not found;Not found;Not found;6;Found
288;Not found;Not found;Not found;0;Found
289;Not found;Not found;Not found;0;Found
290;Not found;Not found;Not found;0;Found
291;Not found;Not found;Not found;0;Found
292;Not found;Not found;Not found;6;Found
293;Not found;Not found;Not found;0;Found
294;Not found;Not found;Not found;0;Found
295;Not found;Not found;Not found;0;Found
296;Not found;Not found;Not found;6;Found
297;Not found;Not found;Not found;2;Found
298;Not found;Not found;Not found;0;Found
299;Not found;Not found;Not found;0;Not found
300;Not found;Not found;Not found;6;Found
301;Not found;Not found;Not found;0;Found
302;Not found;Not found;Not found;0;Not found
303;Not found;Not found;Not found;0;Found
304;Not found;Not found;Not found;0;Found
305;Not found;Not found;Not found;0;Found
306;Not found;Not found;Not found;0;Found
307;Not found;Not found;Not found;0;Found
308;Not found;Not found;Not found;0;Found
309;Not found;Not found;Not found;0;Found
310;Not found;Not found;Not found;0;Found
